file;avg_area;med_area;std_area;min_area;max_area;avg_n_vert;med_n_vert;std_n_vert;avg_perim;med_perim;std_perim;avg_compac;med_compac;std_compac;avg_elong;med_elong;std_elong;avg_round;med_round;std_round;avg_convex;med_convex;std_convex;nber_concave_poly;avg_solid;med_solid;std_solid;avg_rect;med_rect;std_rect;nber_poly_with_hole;nber_plots
raw_plots;11080.239;7128.107;12942.489;500.443;143498.872;218.096;187;149.047;655.754;544;502.81;0.311;0.301;0.108;0.586;0.565;0.221;0.671;0.7;0.139;0.672;0.691;0.089;633;0.885;0.901;0.066;0.708;0.712;0.103;224;633
alpha_plots;10890.534;7035.763;12781.279;515.677;145729.065;55.748;55.5;16.094;406.449;358.5;242.452;0.7;0.728;0.153;0.58;0.56;0.223;0.713;0.742;0.149;0.99;0.994;0.021;631;0.948;0.963;0.056;0.755;0.771;0.1;0;632
generalized_plots;11198.124;7429.33;12766.102;479.526;143183.887;5.899;5;2.378;438.862;394.5;235.394;0.607;0.633;0.145;0.548;0.529;0.229;0.612;0.636;0.144;0.995;1;0.023;177;0.984;1;0.053;0.716;0.732;0.138;0;616
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
year ;file;raw_plots;alpha_plots;generalized_plots;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;avg_area;11080.239;10890.534;11198.124;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;med_area;7128.107;7035.763;7429.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;std_area;12942.489;12781.279;12766.102;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;min_area;500.443;515.677;479.526;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;max_area;143498.872;145729.065;143183.887;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;avg_n_vert;218.096;55.748;5.899;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;med_n_vert;187;55.5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;std_n_vert;149.047;16.094;2.378;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;avg_perim;655.754;406.449;438.862;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;med_perim;544;358.5;394.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;std_perim;502.81;242.452;235.394;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;avg_compac;0.311;0.7;0.607;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;med_compac;0.301;0.728;0.633;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;std_compac;0.108;0.153;0.145;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;avg_elong;0.586;0.58;0.548;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;med_elong;0.565;0.56;0.529;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;std_elong;0.221;0.223;0.229;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;avg_round;0.671;0.713;0.612;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;med_round;0.7;0.742;0.636;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;std_round;0.139;0.149;0.144;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;avg_convex;0.672;0.99;0.995;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;med_convex;0.691;0.994;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;std_convex;0.089;0.021;0.023;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;nber_concave_poly;633;631;177;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;avg_solid;0.885;0.948;0.984;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;med_solid;0.901;0.963;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;std_solid;0.066;0.056;0.053;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;avg_rect;0.708;0.755;0.716;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;med_rect;0.712;0.771;0.732;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;std_rect;0.103;0.1;0.138;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;nber_poly_with_hole;224;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;nber_plots;633;632;616;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;avg_area;16153.19;16649.936;16762.203;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;med_area;10907.135;10966.752;11072.548;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;std_area;20326.053;21325.324;21355.516;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;min_area;503.261;586.669;0.529;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;max_area;297743.033;295197.612;295617.462;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;avg_n_vert;365.236;54.747;6.719;;;;;;;;;;;;;;;;;;;;;;;;;;;;
